0,"[311.0, 120.0]","[272.9389209119128, 121.54530654375601]"
1,"[310.6879348531421, 127.57915839895946]","[272.44305613967913, 125.97724303803601]"
2,"[309.75299598877325, 135.12779820206305]","[271.74047720459896, 130.39445095510905]"
3,"[308.1989480757195, 142.615523701069]","[270.42301735999894, 134.67739501358358]"
4,"[306.0320487164352, 150.01218446813897]","[268.90278901540637, 139.18644149976285]"
5,"[303.2610232498465, 157.2879967609692]","[266.7656566478289, 143.45039808661846]"
6,"[299.8970296174913, 164.41366345140915]","[264.250753979952, 147.66080214939848]"
7,"[295.9536134344263, 171.360491994656]","[261.3949605866373, 151.6845180134484]"
8,"[291.44665344581665, 178.100509964006]","[258.00668578126556, 155.527317435822]"
9,"[286.39429758883307, 184.6065776859439]","[254.2885752641598, 160.3918899291993]"
10,"[280.8168899173141, 190.85249752202952]","[250.36473610484228, 164.9226576573624]"
11,"[274.7368886834416, 196.81311935754144]","[245.85836326848374, 169.52601189047812]"
12,"[268.17877590628586, 202.4644418721124]","[241.21898277629373, 172.99792432750004]"
13,"[261.1689587913555, 207.78370918457523]","[236.0242726346554, 176.7172197887632]"
14,"[253.735663398101, 212.74950248286495]","[230.70906672151315, 179.653225584353]"
15,"[245.90882098353572, 217.34182627001513]","[225.30325097448005, 182.67921384546193]"
16,"[237.71994747962788, 221.54218887896695]","[219.74657202581045, 185.70389107066381]"
17,"[229.20201658976583, 225.33367693198608]","[214.33939105857226, 188.69038550462392]"
18,"[220.3893270152924, 228.70102344486494]","[207.50439403432964, 191.87734029972952]"
19,"[211.31736434674013, 231.63066930168026]","[200.23233914598254, 193.9250686062465]"
20,"[202.0226581758826, 234.1108178525668]","[192.47264569357787, 195.52207661491033]"
21,"[192.54263500396124, 236.13148241466322]","[184.28698381275296, 197.33805505971233]"
22,"[182.91546753837423, 237.68452648495884]","[176.36418154994178, 198.1102625947116]"
23,"[173.17992098465672, 238.7636965031199]","[168.31198077750386, 198.76098141816652]"
24,"[163.37519695268003, 239.36464703236945]","[160.48657666476504, 199.22551510395215]"
25,"[153.54077560560475, 239.48495825702807]","[152.91807275318288, 199.56336912894005]"
26,"[143.71625668719778, 239.1241457262571]","[145.4808345448161, 199.41659692709524]"
27,"[133.94120006764078, 238.28366230477144]","[137.86615950989977, 198.903241191575]"
28,"[124.25496644989543, 236.96689232266607]","[130.40008348848855, 198.39221943850407]"
29,"[114.69655887804457, 235.1791379479131]","[123.35364495910345, 197.35606666834428]"
30,"[105.30446568579964, 232.92759783640287]","[116.47831847988292, 195.55201972176468]"
31,"[96.11650551756506, 230.22133814549747]","[108.81238656604782, 194.1183889572208]"
32,"[87.16967504610501, 227.07125602781463]","[103.01157838281928, 191.162319148637]"
33,"[78.49999999999997, 223.49003575224043]","[96.04382361037388, 188.2503139922806]"
34,"[70.1423901007529, 219.49209762885516]","[90.3647205474137, 185.0788913969424]"
35,"[62.13049849366165, 215.09353994343442]","[84.6445981113128, 181.85551525735724]"
36,"[54.49658623848083, 210.31207413533386]","[79.11517360238639, 178.44903638134392]"
37,"[47.27139240552019, 205.1669534797741]","[73.7308042199662, 174.89643700328136]"
38,"[40.48401030025802, 199.67889556169683]","[68.32866062629981, 171.26091145557342]"
39,"[34.16177031486794, 193.86999885336232]","[63.44030235165068, 167.37870035721747]"
40,"[28.330129878375928, 187.7636537316011]","[59.157635626380795, 163.2473923644209]"
41,"[23.012570948578542, 181.38444829302205]","[55.97551738707794, 159.33425817408852]"
42,"[18.230505458486874, 174.75806934642554]","[53.31200979414043, 155.20323053662887]"
43,"[14.003189098029225, 167.91119898109034]","[50.57246815232084, 150.9760122349336]"
44,"[10.34764377818422, 160.87140712741743]","[47.84513611108227, 146.68316364907523]"
45,"[7.278589089752899, 153.66704054255084]","[45.392018032768, 142.4955509728194]"
46,"[4.8083830327618955, 146.32710866799164]","[43.24053363793033, 137.88729595498006]"
47,"[2.9469722551588973, 138.8811668188153]","[42.145178063667444, 131.83514778358628]"
48,"[1.7018520011718863, 131.3591971748498]","[41.33689476764988, 127.2024587609094]"
49,"[1.078035930606319, 123.79148805301908]","[40.834691638174576, 122.44303583856151]"
50,"[1.078035930606319, 116.20851194698089]","[40.920656914495794, 118.01599663647745]"
51,"[1.7018520011718863, 108.64080282515017]","[41.627199797435644, 113.46742428996495]"
52,"[2.9469722551588973, 101.11883318118467]","[41.99489170083882, 108.92399079846473]"
53,"[4.8083830327618955, 93.6728913320084]","[42.794491105671874, 104.41023165977924]"
54,"[7.278589089752899, 86.33295945744914]","[44.37439286224093, 99.77482493466817]"
55,"[10.347643778184192, 79.1285928725826]","[46.45662574400408, 95.32244841867266]"
56,"[14.003189098029225, 72.08880101890966]","[48.97924033561931, 90.850167406499]"
57,"[18.230505458486874, 65.24193065357447]","[51.247514039873145, 86.61350105321283]"
58,"[23.01257094857857, 58.61555170697793]","[53.91112552775838, 82.54079613753913]"
59,"[28.330129878375914, 52.236346268398904]","[58.55255206104043, 78.28772000305446]"
60,"[34.16177031486795, 46.13000114663767]","[62.94920102572623, 74.1944922961518]"
61,"[40.48401030025801, 40.321104438303166]","[67.45336189312584, 70.2810077076868]"
62,"[47.2713924055202, 34.83304652022588]","[72.26157940804741, 66.45317464451512]"
63,"[54.49658623848079, 29.687925864666155]","[77.70461534792062, 62.78770995057972]"
64,"[62.130498493661676, 24.906460056565564]","[83.47030047516924, 59.31879243473744]"
65,"[70.14239010075288, 20.507902371144837]","[89.58012443831207, 56.3049605287679]"
66,"[78.50000000000006, 16.509964247759555]","[95.95858154861605, 52.63056544070096]"
67,"[87.16967504610504, 12.928743972185345]","[102.78259055918984, 49.79648849444236]"
68,"[96.11650551756506, 9.77866185450253]","[109.7433444428555, 47.510942205228275]"
69,"[105.30446568579961, 7.072402163597133]","[116.83537731914888, 45.59799973400579]"
70,"[114.69655887804463, 4.820862052086909]","[124.02745328964835, 44.04208427466314]"
71,"[124.25496644989546, 3.0331076773339447]","[131.21326066356164, 42.82772053692065]"
72,"[133.94120006764078, 1.716337695228546]","[138.45723547471738, 41.91383077194484]"
73,"[143.71625668719773, 0.8758542737429025]","[145.8613518521539, 41.341514016118516]"
74,"[153.5407756056048, 0.5150417429719312]","[153.27781130578916, 41.124293886319904]"
75,"[163.37519695268006, 0.6353529676305527]","[160.7914489337809, 41.25275429174529]"
76,"[173.1799209846567, 1.2363034968801259]","[168.27998331967362, 41.664456713515854]"
77,"[182.91546753837414, 2.315473515041134]","[175.7663913186292, 42.3995918352005]"
78,"[192.54263500396127, 3.8685175853367753]","[183.18937638492446, 43.39023329325436]"
79,"[202.0226581758826, 5.889182147433175]","[190.5777523570181, 44.628616764044786]"
80,"[211.3173643467401, 8.369330698319743]","[197.81106502556653, 46.12273531849859]"
81,"[220.38932701529245, 11.29897655513507]","[205.17501498104636, 48.27039445785352]"
82,"[229.20201658976583, 14.666323068013952]","[212.98494742681757, 50.46477344325576]"
83,"[237.71994747962788, 18.457811121033032]","[219.8800724944761, 52.97189053113398]"
84,"[245.9088209835357, 22.658173729984867]","[225.14360854771476, 55.7492819003224]"
85,"[253.73566339810105, 27.250497517135088]","[231.499771266423, 59.28643429287625]"
86,"[261.1689587913555, 32.2162908154248]","[236.47623780194726, 63.10295695489043]"
87,"[268.17877590628586, 37.53555812788761]","[241.3955489428688, 67.03855236690919]"
88,"[274.7368886834416, 43.18688064245852]","[246.21023935551156, 70.92679379780853]"
89,"[280.8168899173141, 49.147502477970505]","[250.8657671887802, 74.78757067262188]"
90,"[286.39429758883307, 55.39342231405611]","[255.03676060837992, 78.94218772602045]"
91,"[291.44665344581665, 61.89949003599398]","[258.33461111596006, 83.3106471313794]"
92,"[295.9536134344263, 68.63950800534396]","[261.8356690295761, 87.23499249499046]"
93,"[299.8970296174913, 75.5863365485909]","[264.674457127862, 91.51583282737718]"
94,"[303.2610232498465, 82.71200323903079]","[267.2320104168209, 95.74678981328213]"
95,"[306.0320487164352, 89.98781553186102]","[269.1489048066475, 99.93244543464671]"
96,"[308.19894807571956, 97.38447629893103]","[270.7830741870671, 104.45688555739409]"
97,"[309.75299598877325, 104.872201797937]","[272.0248669708837, 109.09601304191013]"
